FirstName,LastName,DoB,DoJ,Address1,Address2,City,Pincode,height,weight,Skill1,Skill2,Skill3,PayLevel
Samar,Vig,30-07-1977,24-12-2023,64/610 Divan Nagar,N/A,Avadi,111111,5.6,78,C++,Java,React,L3
Ritvik,Choudhry,31-12-1974,29-05-2016,"H.No. 24, Mani Marg",H.No. 44,Erode,503578,5.5,78,React,Java,Cloud,L4
Hansh,Khare,12-03-1984,16-07-2021,"28/10, Sani Circle",31/127,Hazaribagh,686651,4.9,67,Cloud,Data Science,Sql,L4
Aayush,Trivedi,29-06-1973,23-04-2022,"79/838, Sen Street",H.No. 141,Bhilai,548617,4.8,54,Cloud,Sql,React,L4
Raunak,Sandal,11-01-1979,27-12-2020,"90/048, Joshi Street",H.No. 541,Solapur,751347,4.2,32,Data Science,Java,Sql,L4
Rasha,Bhargava,07-05-1967,02-05-2022,"H.No. 17, Gandhi Marg",H.No. 509,Rajpur Sonarpur,63196,4.9,58.3,Python,C++,Java,L4
Nehmat,Luthra,27-01-2022,28-05-1977,"H.No. 06, Chatterjee Marg",N/A,Ambattur,222222,4.9,56,Cloud,Java,Data Science,L4
Jayan,Iyengar,20-09-1981,15-01-2021,72 Ghosh Marg,N/A,Satna,412193,5.4,56,React,Java,Cloud,L4
Inaaya ,Deol,26-09-1980,23-08-2021,"H.No. 32, Lad",H.No. 88,Jaipur,882546,5.2,67,Java,Cloud,Sql,L4
Charvi,Krishnamurthy,26-11-1982,03-03-2017,"17/414, Khatri Path",H.No. 88,Nagpur,970104,4.35,54.65,React,Machine Learning,Sql,L4
Samaira,Gopal,25-11-1984,05-08-2019,H.No. 32 Lall Circle,N/A,Adoni,333333,4.2,57,React,Python,Data Science,L4
Tarini,Balakrishnan,18-12-1996,26-03-2017,"37/564, Kar Nagar",N/A,Erode,21891,4.9,65,Machine Learning,Sql,C++,L4
Rohan,Garde,17-04-1975,18-04-2021,40 Chandra Nagar,N/A,Aizawl,245253,5.3,69,Java,Machine Learning,React,L4
